policy,fraction,cumulative_gain,centered_qini,unit,sample_scope
t_learner,0.2799998283931413,0.0009291165462302342,0.000617930691779082,incremental_conversions_per_test_row,held_out_test
t_learner,0.2899998605694273,0.0009293969495941178,0.0006070972720553769,incremental_conversions_per_test_row,held_out_test
t_learner,0.2999998927457133,0.0009340236050982063,0.0006006101044718766,incremental_conversions_per_test_row,held_out_test
t_learner,0.3099999249219993,0.0009373884454648162,0.0005928611217508979,incremental_conversions_per_test_row,held_out_test
t_learner,0.3199999570982853,0.0009383698572384105,0.0005827287104369033,incremental_conversions_per_test_row,held_out_test
t_learner,0.3299999892745713,0.0009352854202356843,0.0005685304503465884,incremental_conversions_per_test_row,held_out_test
t_learner,0.3399996639365684,0.0009341638067801474,0.0005562954111372402,incremental_conversions_per_test_row,held_out_test
t_learner,0.34999969611285436,0.0009340236050982047,0.0005450413863677088,incremental_conversions_per_test_row,held_out_test
t_learner,0.3599997282891404,0.0009348648151898572,0.0005347687733717726,incremental_conversions_per_test_row,held_out_test
t_learner,0.3699997604654264,0.0009369678404189883,0.0005257579755133149,incremental_conversions_per_test_row,held_out_test
t_learner,0.3799997926417124,0.0009394914706939457,0.0005171677827006836,incremental_conversions_per_test_row,held_out_test
t_learner,0.3899998248179984,0.0009372482437828719,0.0005038107327020212,incremental_conversions_per_test_row,held_out_test
t_learner,0.3999998569942844,0.0009369678404189876,0.000492416506250548,incremental_conversions_per_test_row,held_out_test
t_learner,0.4099998891705704,0.0009390708656481187,0.0004834057083920904,incremental_conversions_per_test_row,held_out_test
t_learner,0.41999992134685643,0.0009407532858314236,0.0004739743054878066,incremental_conversions_per_test_row,held_out_test
t_learner,0.4299999535231424,0.0009436975211522072,0.0004658047177210014,incremental_conversions_per_test_row,held_out_test
t_learner,0.43999998569942844,0.0009434171177883228,0.00045441049126952835,incremental_conversions_per_test_row,held_out_test
t_learner,0.44999966036142547,0.0009459407480632802,0.0004458206957906744,incremental_conversions_per_test_row,held_out_test
t_learner,0.4599996925377115,0.00094930558842989,0.00043807171306969536,incremental_conversions_per_test_row,held_out_test
t_learner,0.4699997247139975,0.0009490251850660055,0.00042667748661822226,incremental_conversions_per_test_row,held_out_test
t_learner,0.4799997568902835,0.0009519694203867892,0.00041850789885141716,incremental_conversions_per_test_row,held_out_test
t_learner,0.4899997890665695,0.0009536518405700941,0.0004090764959471334,incremental_conversions_per_test_row,held_out_test
t_learner,0.4999998212428555,0.000955334260753399,0.0003996450930428495,incremental_conversions_per_test_row,held_out_test
t_learner,0.5099998534191416,0.0009565960758908777,0.00038979308509273943,incremental_conversions_per_test_row,held_out_test
t_learner,0.5199998855954275,0.0009574372859825302,0.0003795204720968032,incremental_conversions_per_test_row,held_out_test
t_learner,0.5299999177717135,0.0009574372859825302,0.0003684066490092145,incremental_conversions_per_test_row,held_out_test
t_learner,0.5399999499479995,0.000955895067481167,0.0003557506074202627,incremental_conversions_per_test_row,held_out_test
t_learner,0.5499999821242856,0.0009547734540256301,0.00034351517087713695,incremental_conversions_per_test_row,held_out_test
t_learner,0.5599996567862826,0.000953231235524267,0.0003308595266219625,incremental_conversions_per_test_row,held_out_test
t_learner,0.5699996889625686,0.000953231235524267,0.00031974570353437385,incremental_conversions_per_test_row,held_out_test
t_learner,0.5799997211388546,0.0009536518405700933,0.00030905248549261137,incremental_conversions_per_test_row,held_out_test
t_learner,0.5899997533151407,0.000951689017022904,0.0002959758388578332,incremental_conversions_per_test_row,held_out_test
t_learner,0.5999997854914266,0.0009529508321603826,0.00028612383090772327,incremental_conversions_per_test_row,held_out_test
t_learner,0.6099998176677126,0.0009546332523436876,0.0002766924280034395,incremental_conversions_per_test_row,held_out_test
t_learner,0.6199998498439986,0.000952249823750672,0.00026319517632283516,incremental_conversions_per_test_row,held_out_test
t_learner,0.6299998820202847,0.0009526704287964982,0.0002525019582810726,incremental_conversions_per_test_row,held_out_test
t_learner,0.6399999141965707,0.0009519694203867875,0.0002406871267837732,incremental_conversions_per_test_row,held_out_test
t_learner,0.6499999463728566,0.00095281063047844,0.0002304145137878369,incremental_conversions_per_test_row,held_out_test
t_learner,0.6599999785491426,0.0009532312355242662,0.00021972129574607453,incremental_conversions_per_test_row,held_out_test
t_learner,0.6699996532111397,0.0009536518405700925,0.00020902847503808937,incremental_conversions_per_test_row,held_out_test
t_learner,0.6799996853874257,0.0009553342607533973,0.00019959707213380547,incremental_conversions_per_test_row,held_out_test
t_learner,0.6899997175637117,0.0009570166809367023,0.0001901656692295218,incremental_conversions_per_test_row,held_out_test
t_learner,0.6999997497399977,0.0009554744624353391,0.0001775096276405699,incremental_conversions_per_test_row,held_out_test
t_learner,0.7099997819162838,0.0009563156725269917,0.00016723701464463358,incremental_conversions_per_test_row,held_out_test
t_learner,0.7199998140925697,0.0009571568826186441,0.00015696440164869737,incremental_conversions_per_test_row,held_out_test
t_learner,0.7299998462688557,0.0009575774876644704,0.0001462711836069349,incremental_conversions_per_test_row,held_out_test
t_learner,0.7399998784451417,0.0009575774876644704,0.00013515736051934615,incremental_conversions_per_test_row,held_out_test
t_learner,0.7499999106214278,0.0009584186977561228,0.00012488474752340984,incremental_conversions_per_test_row,held_out_test
t_learner,0.7599999427977138,0.0009564558742089335,0.00011180810088863178,incremental_conversions_per_test_row,held_out_test
t_learner,0.7699999749739997,0.0009564558742089335,0.00010069427780104304,incremental_conversions_per_test_row,held_out_test
